id,x,y,z
Node108,-173.48628853982873,11.429280320479686,9.514448054145806
Node109,-284.15259863325923,25.604421033055733,-77.85399594311602
Node110,-245.8983469818545,30.20701140386365,-17.72277042363802
Node111,-211.47186918539478,35.54448566650061,-48.57329004033189
Node112,-228.8290933504843,51.92340175732119,-55.17356477307949
Node113,-295.09672763077714,63.33425984602777,-112.27447901349052
Node114,-291.711558039618,82.68064495513522,-133.73546777086034
Node115,-220.60017973220454,78.61085317751977,-85.33679914802735
Node116,-249.61376364760247,124.98566244597593,-122.66167617266245
Node117,-260.33459595434715,105.63623376027004,-84.68481767994192
Node118,-228.12623261328378,96.2233621362883,-141.73562390023145
Node119,-196.58325276563775,81.62584432657324,-156.53576091948844
Node120,-146.6006601473393,52.38583251104285,-191.63524940827008
Node121,-107.29411895397573,105.91345886095485,-171.0702403703155
Node122,-89.48472579482463,206.82671150363765,-128.35237273372945
Node123,-82.23975351625847,176.6699038270678,-149.751144964026
Node124,-59.01350731211179,207.9156816105581,-85.07122825089223
Node125,-60.661811262525084,137.79559119590414,-63.78309327150738
Node126,-98.18800629097768,236.3331749254907,-177.86398826895075
Node127,-84.02935346887391,160.70207751710012,-96.76203642636327
Node128,-79.75490457901091,223.71909902358098,-207.58840204018279
Node129,-41.141053733397676,219.05694196912168,-137.52200369021244
Node130,-97.58139775362064,186.79912981492367,-197.48771371117564
Node131,-90.26999583831183,181.8708234200879,-229.37217080116662
Node132,-51.4065642407351,105.72484101137063,-242.95945697800593
Node133,-76.8315551020202,88.55721467507925,-247.46263478711973
Node134,-17.479111604152664,46.595973362310936,-164.00541883359878
Node135,-60.61098147602604,-27.57655205586586,-111.52545635105285
Node136,-102.49559772447593,-117.49281637163266,-73.06606314022336
Node137,-107.97306274917204,-151.59109342847177,-54.67060182022876
Node138,-151.60082794606222,-101.84961239044462,49.73832576485404
Node139,-204.78647052632175,-152.47505736565182,29.280876439979433
Node140,-217.8061289757824,-170.68911349827079,49.40185701243447
Node141,-191.59577760965715,-196.32590267114335,82.94292561497073
Node142,-103.3825501211267,-215.45890994689327,94.78629410459364
Node143,56.734899344185045,-288.6076417384764,53.108319155750046
Node144,54.34654740107494,-274.43123298294483,89.06699097488143
Node145,43.67630307676142,-174.4036238479678,109.05971665869428
Node146,58.1822554919233,-225.38462639112367,94.91651150721296
Node147,37.165063464951935,-89.20200976372634,79.81925775625605
Node148,58.34333841605486,-151.1212776686456,43.11469328191338
